,Nombre del jugador,Posición,Equipo,Edad,Minutos jugados,Goles anotados,Asistencias anotadas,Goles anotados esperados,Goles encajados (Porteros),Paradas (Porteros),Porterías a cero (Porteros),Goles encajados jugando,Goles encajados esperados,Valor de Mercado,Liga
331,Bernardo Silva,3,1,23.0,2854.0,7.0,7.0,7.4,0.0,0.0,0.0,0.0,0.0,100000000,1
332,David Silva,3,1,32.0,2401.0,6.0,8.0,7.8,0.0,0.0,0.0,0.0,0.0,20000000,1
333,Raheem Sterling,4,1,23.0,2771.0,17.0,9.0,13.7,0.0,0.0,0.0,0.0,0.0,140000000,1
334,John Stones,2,1,24.0,1764.0,0.0,0.0,0.3,0.0,0.0,0.0,15.0,14.9,60000000,1
335,Kyle Walker,2,1,28.0,2779.0,1.0,1.0,0.8,0.0,0.0,0.0,17.0,19.9,50000000,1
336,Oleksandr Zinchenko,2,1,21.0,1151.0,0.0,3.0,0.1,0.0,0.0,0.0,4.0,5.4,30000000,1
337,Nathan Ake,2,22,23.0,3411.0,4.0,0.0,3.4,0.0,0.0,0.0,70.0,57.1,35000000,1
338,Artur Boruc,1,22,38.0,1080.0,0.0,0.0,0.0,18.0,38.0,4.0,0.0,0.0,1000000,1
339,David Brooks,3,22,21.0,2261.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,30000000,1
340,Nathaniel Clyne,2,22,27.0,1143.0,0.0,1.0,0.1,0.0,0.0,0.0,25.0,19.0,12000000,1
341,Lewis Cook,3,22,21.0,723.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,20000000,1
342,Steve Cook,2,22,27.0,2786.0,1.0,1.0,1.3,0.0,0.0,0.0,56.0,47.8,10000000,1
343,Charlie Daniels,2,22,31.0,1585.0,1.0,0.0,0.4,0.0,0.0,0.0,34.0,25.0,3000000,1
344,Simon Francis,2,22,33.0,1229.0,0.0,2.0,0.1,0.0,0.0,0.0,24.0,20.4,2000000,1
345,Ryan Fraser,3,22,24.0,3166.0,7.0,14.0,4.7,0.0,0.0,0.0,0.0,0.0,30000000,1
346,Dan Gosling,3,22,28.0,1739.0,2.0,1.0,1.9,0.0,0.0,0.0,0.0,0.0,3500000,1
347,Jordon Ibe,3,22,22.0,797.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,8000000,1
348,Joshua King,4,22,26.0,2961.0,12.0,3.0,13.5,0.0,0.0,0.0,0.0,0.0,20000000,1
349,Jefferson Lerma,3,22,23.0,2506.0,2.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,25000000,1
350,Chris Mepham,2,22,20.0,850.0,0.0,1.0,0.1,0.0,0.0,0.0,17.0,14.0,13000000,1
351,Tyrone Mings,2,22,25.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5,18000000,1
352,Lys Mousset,4,22,22.0,368.0,1.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,6000000,1
353,Diego Rico,2,22,25.0,612.0,0.0,0.0,0.2,0.0,0.0,0.0,19.0,12.9,7000000,1
354,Jack Simpson,2,22,21.0,403.0,0.0,0.0,0.1,0.0,0.0,0.0,9.0,9.1,1500000,1
355,Adam Smith,2,22,27.0,2066.0,1.0,1.0,0.5,0.0,0.0,0.0,32.0,30.9,7000000,1
356,Dominic Solanke,4,22,20.0,347.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18000000,1
357,Junior Stanislas,3,22,28.0,1031.0,2.0,3.0,3.1,0.0,0.0,0.0,0.0,0.0,3500000,1
358,Andrew Surman,3,22,31.0,1439.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2500000,1
359,Mark Travers,1,22,19.0,180.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,250000,1
360,Callum Wilson,4,22,26.0,2528.0,14.0,9.0,13.4,0.0,0.0,0.0,0.0,0.0,30000000,1
361,Marc Albrighton,4,16,28.0,1625.0,2.0,2.0,1.2,0.0,0.0,0.0,0.0,0.0,10000000,1
362,Daniel Amartey,2,16,23.0,641.0,0.0,0.0,0.3,0.0,0.0,0.0,9.0,8.2,7000000,1
363,Harvey Barnes,3,16,20.0,1004.0,1.0,2.0,3.9,0.0,0.0,0.0,0.0,0.0,12000000,1
364,Ben Chilwell,2,16,21.0,3240.0,0.0,4.0,1.1,0.0,0.0,0.0,43.0,41.5,35000000,1
365,Hamza Choudhury,3,16,20.0,595.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10000000,1
366,Jonny Evans,2,16,30.0,1996.0,1.0,0.0,0.9,0.0,0.0,0.0,26.0,23.6,12000000,1
367,Christian Fuchs,2,16,32.0,207.0,0.0,0.0,0.1,0.0,0.0,0.0,5.0,2.8,3000000,1
368,Demarai Gray,4,16,22.0,1985.0,4.0,1.0,4.5,0.0,0.0,0.0,0.0,0.0,20000000,1
369,Kelechi Iheanacho,4,16,21.0,941.0,1.0,3.0,2.1,0.0,0.0,0.0,0.0,0.0,12000000,1
370,James Maddison,3,16,21.0,2831.0,7.0,7.0,7.4,0.0,0.0,0.0,0.0,0.0,45000000,1
371,Harry Maguire,2,16,25.0,2596.0,3.0,0.0,2.4,0.0,0.0,0.0,40.0,33.7,70000000,1
372,Nampalys Mendy,3,16,26.0,2092.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,8000000,1
373,Wes Morgan,2,16,34.0,1925.0,3.0,0.0,1.8,0.0,0.0,0.0,26.0,24.7,2000000,1
374,Wilfred Ndidi,3,16,21.0,3296.0,2.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,35000000,1
375,Ricardo Pereira,2,16,24.0,3123.0,2.0,6.0,1.2,0.0,0.0,0.0,45.0,39.4,30000000,1
376,Kasper Schmeichel,1,16,31.0,3420.0,0.0,0.0,0.1,48.0,90.0,10.0,0.0,0.0,12000000,1
377,Caglar Soyuncu,2,16,22.0,372.0,0.0,0.0,0.1,0.0,0.0,0.0,4.0,4.9,20000000,1
378,Youri Tielemans,3,16,21.0,1086.0,3.0,4.0,1.8,0.0,0.0,0.0,0.0,0.0,45000000,1
379,Jamie Vardy,4,16,31.0,2726.0,18.0,4.0,18.3,0.0,0.0,0.0,0.0,0.0,20000000,1
380,Toby Alderweireld,2,5,29.0,2922.0,0.0,0.0,1.1,0.0,0.0,0.0,31.0,37.0,40000000,1
381,Dele Alli,3,5,22.0,1825.0,5.0,3.0,4.8,0.0,0.0,0.0,0.0,0.0,90000000,1
382,Serge Aurier,2,5,25.0,564.0,0.0,2.0,0.1,0.0,0.0,0.0,9.0,7.5,15000000,1
383,Ben Davies,2,5,25.0,1844.0,0.0,0.0,0.5,0.0,0.0,0.0,26.0,23.8,25000000,1
384,Eric Dier,3,5,24.0,1506.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30000000,1
385,Christian Eriksen,3,5,26.0,2774.0,8.0,12.0,5.4,0.0,0.0,0.0,0.0,0.0,100000000,1
386,Juan Foyth,2,5,20.0,888.0,1.0,0.0,0.7,0.0,0.0,0.0,11.0,14.4,15000000,1
387,Paulo Gazzaniga,1,5,26.0,270.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,2000000,1
388,Harry Kane,4,5,25.0,2424.0,17.0,4.0,14.4,0.0,0.0,0.0,0.0,0.0,150000000,1
389,Erik Lamela,3,5,26.0,974.0,4.0,2.0,3.3,0.0,0.0,0.0,0.0,0.0,22000000,1
390,Hugo Lloris,1,5,31.0,2970.0,0.0,0.0,0.0,33.0,98.0,12.0,0.0,0.0,25000000,1
391,Lucas Moura,4,5,25.0,2121.0,10.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,40000000,1
392,Danny Rose,2,5,28.0,1798.0,0.0,3.0,0.7,0.0,0.0,0.0,16.0,25.4,25000000,1
393,Davinson Sanchez,2,5,22.0,1942.0,1.0,1.0,1.4,0.0,0.0,0.0,22.0,26.2,55000000,1
394,Moussa Sissoko,3,5,28.0,2330.0,0.0,3.0,0.9,0.0,0.0,0.0,0.0,0.0,25000000,1
395,Oliver Skipp,3,5,17.0,220.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,8000000,1
396,Jan Vertonghen,2,5,31.0,1911.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,27.3,22000000,1
397,Michel Vorm,1,5,34.0,180.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,1000000,1
398,Kyle Walker-Peters,2,5,21.0,376.0,0.0,3.0,0.3,0.0,0.0,0.0,4.0,6.3,10000000,1
399,Victor Wanyama,3,5,27.0,516.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15000000,1
400,Harry Winks,3,5,22.0,1597.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40000000,1
401,Trent Alexander-Arnold,2,2,19.0,2462.0,1.0,12.0,1.6,0.0,0.0,0.0,14.0,21.2,80000000,1
402,Alisson,1,2,25.0,3420.0,0.0,0.0,0.0,22.0,74.0,21.0,0.0,0.0,80000000,1
403,Fabinho,3,2,24.0,2017.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,50000000,1
404,Roberto Firmino,4,2,26.0,2607.0,12.0,6.0,13.6,0.0,0.0,0.0,0.0,0.0,80000000,1
405,Joe Gomez,2,2,21.0,1063.0,0.0,0.0,0.3,0.0,0.0,0.0,4.0,9.6,35000000,1
406,Jordan Henderson,3,2,28.0,1987.0,1.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,35000000,1
407,Naby Keita,3,2,23.0,139.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,50000000,1
408,Adam Lallana,3,2,30.0,468.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,15000000,1
409,Dejan Lovren,2,2,29.0,986.0,1.0,0.0,0.7,0.0,0.0,0.0,7.0,8.7,20000000,1
410,Sadio Mane,4,2,26.0,3077.0,22.0,1.0,15.1,0.0,0.0,0.0,0.0,0.0,120000000,1
411,Joel Matip,2,2,26.0,1537.0,1.0,0.0,0.7,0.0,0.0,0.0,12.0,12.0,35000000,1
412,James Milner,3,2,32.0,1789.0,5.0,4.0,3.4,0.0,0.0,0.0,0.0,0.0,15000000,1
413,Divock Origi,4,2,23.0,371.0,3.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,20000000,1
414,Alex Oxlade-Chamberlain,3,2,24.0,21.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,35000000,1
415,Andrew Robertson,2,2,24.0,3216.0,0.0,11.0,0.7,0.0,0.0,0.0,20.0,27.0,60000000,1
416,Mohamed Salah,4,2,26.0,3250.0,22.0,8.0,20.2,0.0,0.0,0.0,0.0,0.0,150000000,1
417,Xherdan Shaqiri,4,2,26.0,1064.0,6.0,3.0,3.9,0.0,0.0,0.0,0.0,0.0,25000000,1
418,Virgil Van Dijk,2,2,27.0,3384.0,4.0,2.0,3.1,0.0,0.0,0.0,22.0,28.8,100000000,1
419,Georginio Wijnaldum,3,2,27.0,2725.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50000000,1
420,Miguel Almiron,3,46,24.0,759.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,20000000,1
421,Christian Atsu,3,46,26.0,1493.0,1.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,6000000,1
422,Ciaran Clark,2,46,28.0,858.0,3.0,0.0,0.5,0.0,0.0,0.0,15.0,14.7,6000000,1
423,Martin Dubravka,1,46,29.0,3420.0,0.0,0.0,0.0,48.0,93.0,11.0,0.0,0.0,7000000,1
424,Paul Dummett,2,46,26.0,1990.0,0.0,0.0,0.3,0.0,0.0,0.0,27.0,30.3,7000000,1
425,Federico Fernandez,2,46,29.0,1484.0,0.0,1.0,0.2,0.0,0.0,0.0,24.0,26.5,7000000,1
426,Isaac Hayden,3,46,23.0,1859.0,1.0,4.0,0.9,0.0,0.0,0.0,0.0,0.0,10000000,1
427,Jamaal Lascelles,2,46,24.0,2745.0,0.0,1.0,0.6,0.0,0.0,0.0,36.0,41.9,18000000,1
428,Florian Lejeune,2,46,27.0,1054.0,0.0,0.0,0.4,0.0,0.0,0.0,13.0,14.7,8000000,1
429,Sean Longstaff,3,46,20.0,687.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,18000000,1
430,Javier Manquillo,2,46,24.0,1101.0,0.0,3.0,0.1,0.0,0.0,0.0,16.0,17.6,5000000,1
431,Ayoze Perez,3,46,25.0,2917.0,12.0,2.0,7.5,0.0,0.0,0.0,0.0,0.0,20000000,1
432,Matt Ritchie,2,46,28.0,2928.0,2.0,8.0,5.1,0.0,0.0,0.0,40.0,44.1,12000000,1
433,Fabian Schar,2,46,26.0,1999.0,4.0,1.0,1.9,0.0,0.0,0.0,23.0,30.1,12000000,1
434,Jonjo Shelvey,3,46,26.0,948.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,15000000,1
435,Deandre Yedlin,2,46,25.0,2473.0,1.0,2.0,1.2,0.0,0.0,0.0,40.0,41.8,8000000,1
436,Marcos Alonso,2,11,27.0,2759.0,2.0,4.0,3.4,0.0,0.0,0.0,28.0,29.3,32000000,1
437,Cesar Azpilicueta,2,11,28.0,3402.0,1.0,5.0,1.2,0.0,0.0,0.0,39.0,36.1,35000000,1
438,Ross Barkley,3,11,24.0,1245.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,30000000,1
439,Willy Caballero,1,11,36.0,180.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1000000,1
440,Gary Cahill,2,11,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6000000,1
441,Andreas Christensen,2,11,22.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.6,35000000,1
442,Olivier Giroud,4,11,31.0,847.0,2.0,4.0,4.6,0.0,0.0,0.0,0.0,0.0,12000000,1
443,Callum Hudson-Odoi,4,11,17.0,393.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,35000000,1
444,Jorginho,3,11,26.0,3156.0,2.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,65000000,1
445,N'Golo Kante,3,11,27.0,3092.0,4.0,4.0,2.9,0.0,0.0,0.0,0.0,0.0,100000000,1
446,Mateo Kovacic,3,11,24.0,1735.0,0.0,2.0,2.2,0.0,0.0,0.0,0.0,0.0,35000000,1
447,Ruben Loftus-Cheek,3,11,22.0,998.0,6.0,2.0,2.8,0.0,0.0,0.0,0.0,0.0,30000000,1
448,David Luiz,2,11,31.0,3238.0,3.0,2.0,2.6,0.0,0.0,0.0,36.0,34.8,20000000,1
449,Pedro,4,11,31.0,1778.0,8.0,2.0,5.3,0.0,0.0,0.0,0.0,0.0,20000000,1
450,Antonio Rudiger,2,11,25.0,2871.0,1.0,0.0,2.5,0.0,0.0,0.0,35.0,31.7,50000000,1
451,Willian,4,11,29.0,2097.0,3.0,6.0,4.2,0.0,0.0,0.0,0.0,0.0,35000000,1
452,Felipe Anderson,3,33,25.0,3043.0,9.0,4.0,5.5,0.0,0.0,0.0,0.0,0.0,45000000,1
453,Michail Antonio,3,33,28.0,2103.0,6.0,4.0,7.1,0.0,0.0,0.0,0.0,0.0,15000000,1
454,Fabian Balbuena,2,33,26.0,2013.0,1.0,0.0,2.1,0.0,0.0,0.0,32.0,33.9,12000000,1
455,Andy Carroll,4,33,29.0,461.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,6000000,1
456,Aaron Cresswell,2,33,28.0,1589.0,0.0,1.0,0.5,0.0,0.0,0.0,26.0,25.2,8000000,1
457,Issa Diop,2,33,21.0,2970.0,1.0,0.0,1.2,0.0,0.0,0.0,43.0,51.4,35000000,1
458,Lukasz Fabianski,1,33,33.0,3420.0,0.0,0.0,0.0,55.0,143.0,7.0,0.0,0.0,5000000,1
459,Ryan Fredericks,2,33,25.0,1086.0,1.0,0.0,0.5,0.0,0.0,0.0,16.0,23.8,7000000,1
460,Manuel Lanzini,3,33,25.0,686.0,1.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,20000000,1
461,Arthur Masuaku,2,33,24.0,1759.0,0.0,1.0,0.1,0.0,0.0,0.0,29.0,33.6,10000000,1
462,Mark Noble,3,33,31.0,2291.0,5.0,5.0,3.7,0.0,0.0,0.0,0.0,0.0,7000000,1
463,Angelo Ogbonna,2,33,30.0,1874.0,1.0,1.0,1.8,0.0,0.0,0.0,36.0,39.2,8000000,1
464,Declan Rice,3,33,19.0,3003.0,2.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,50000000,1
465,Carlos Sanchez,3,33,32.0,245.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1500000,1
466,Robert Snodgrass,3,33,30.0,2220.0,2.0,5.0,2.3,0.0,0.0,0.0,0.0,0.0,7000000,1
467,Jack Wilshere,3,33,26.0,392.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,10000000,1
468,Pablo Zabaleta,2,33,33.0,2092.0,0.0,1.0,0.5,0.0,0.0,0.0,35.0,33.4,2000000,1
469,Stuart Armstrong,3,45,26.0,1432.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8000000,1
470,Jan Bednarek,2,45,22.0,2151.0,0.0,1.0,0.8,0.0,0.0,0.0,37.0,34.1,15000000,1
471,Ryan Bertrand,2,45,28.0,2160.0,1.0,0.0,1.2,0.0,0.0,0.0,42.0,34.2,15000000,1
472,Angus Gunn,1,45,22.0,1080.0,0.0,0.0,0.0,18.0,31.0,3.0,0.0,0.0,10000000,1
473,Danny Ings,4,45,26.0,1651.0,7.0,3.0,9.4,0.0,0.0,0.0,0.0,0.0,15000000,1
474,Shane Long,4,45,31.0,1272.0,5.0,1.0,4.6,0.0,0.0,0.0,0.0,0.0,5000000,1
475,Alex Mccarthy,1,45,28.0,2250.0,0.0,0.0,0.0,44.0,78.0,4.0,0.0,0.0,5000000,1
476,Michael Obafemi,4,45,18.0,137.0,1.0,1.0,1.7,0.0,0.0,0.0,0.0,0.0,2000000,1
477,Nathan Redmond,3,45,24.0,3270.0,6.0,4.0,7.6,0.0,0.0,0.0,0.0,0.0,20000000,1
478,Oriol Romeu,3,45,26.0,2136.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,10000000,1
479,Cedric Soares,2,45,26.0,1495.0,1.0,2.0,0.3,0.0,0.0,0.0,31.0,24.8,12000000,1
480,Jack Stephens,2,45,24.0,1700.0,1.0,0.0,1.0,0.0,0.0,0.0,35.0,28.4,8000000,1
481,Matt Targett,2,45,22.0,1186.0,1.0,3.0,0.5,0.0,0.0,0.0,25.0,22.7,10000000,1
482,Yan Valery,2,45,19.0,1712.0,2.0,1.0,0.7,0.0,0.0,0.0,29.0,25.9,7000000,1
483,Jannik Vestergaard,2,45,25.0,2027.0,0.0,0.0,0.7,0.0,0.0,0.0,31.0,31.5,20000000,1
484,James Ward-Prowse,3,45,23.0,1945.0,7.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,18000000,1
485,Pierre-Emerick Aubameyang,4,13,29.0,2726.0,22.0,5.0,22.6,0.0,0.0,0.0,0.0,0.0,70000000,1
486,Hector Bellerin,2,13,23.0,1533.0,0.0,5.0,0.9,0.0,0.0,0.0,21.0,20.4,40000000,1
487,Matteo Guendouzi,3,13,19.0,2149.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,45000000,1
488,Rob Holding,2,13,22.0,807.0,0.0,0.0,0.1,0.0,0.0,0.0,10.0,13.0,12000000,1
489,Alex Iwobi,4,13,22.0,1970.0,3.0,6.0,3.5,0.0,0.0,0.0,0.0,0.0,32000000,1
490,Sead Kolasinac,2,13,25.0,1887.0,0.0,5.0,0.4,0.0,0.0,0.0,29.0,29.2,20000000,1
491,Alexandre Lacazette,4,13,27.0,2502.0,13.0,8.0,11.7,0.0,0.0,0.0,0.0,0.0,70000000,1
492,Bernd Leno,1,13,26.0,2836.0,0.0,0.0,0.0,42.0,104.0,7.0,0.0,0.0,30000000,1
493,Ainsley Maitland-Niles,2,13,20.0,987.0,1.0,1.0,0.9,0.0,0.0,0.0,17.0,18.7,18000000,1
494,Konstantinos Mavropanos,2,13,20.0,148.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,2.4,3000000,1
495,Shkodran Mustafi,2,13,26.0,2611.0,2.0,0.0,1.5,0.0,0.0,0.0,40.0,43.1,18000000,1
496,Mesut Ozil,3,13,29.0,1735.0,5.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,25000000,1
497,Bukayo Saka,4,13,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000,1
498,Lucas Torreira,3,13,22.0,2382.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,55000000,1
499,Danny Welbeck,4,13,27.0,153.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,12000000,1
500,Joe Willock,3,13,18.0,64.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10000000,1
501,Granit Xhaka,3,13,25.0,2498.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40000000,1
502,Eric Bailly,2,10,24.0,638.0,0.0,0.0,0.2,0.0,0.0,0.0,13.0,10.4,25000000,1
503,Diogo Dalot,2,10,19.0,1013.0,0.0,2.0,0.7,0.0,0.0,0.0,18.0,16.9,20000000,1
504,Fred,3,10,25.0,1041.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,25000000,1
505,David De Gea,1,10,27.0,3420.0,0.0,0.0,0.0,54.0,120.0,7.0,0.0,0.0,65000000,1
506,Mason Greenwood,4,10,16.0,117.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,10000000,1
507,Phil Jones,2,10,26.0,1263.0,0.0,1.0,0.4,0.0,0.0,0.0,17.0,17.7,15000000,1
508,Victor Lindelof,2,10,24.0,2601.0,1.0,1.0,0.7,0.0,0.0,0.0,40.0,38.4,35000000,1
509,Jesse Lingard,4,10,25.0,1663.0,4.0,2.0,4.7,0.0,0.0,0.0,0.0,0.0,40000000,1
510,Anthony Martial,4,10,22.0,1621.0,10.0,2.0,6.2,0.0,0.0,0.0,0.0,0.0,60000000,1
511,Juan Mata,4,10,30.0,1289.0,3.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,20000000,1
512,Nemanja Matic,3,10,29.0,2436.0,1.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,25000000,1
513,Scott Mctominay,3,10,21.0,867.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,20000000,1
514,Andreas Pereira,3,10,22.0,599.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,15000000,1
515,Paul Pogba,3,10,25.0,3006.0,13.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,100000000,1
516,Marcus Rashford,4,10,20.0,2334.0,10.0,6.0,10.7,0.0,0.0,0.0,0.0,0.0,80000000,1
517,Marcos Rojo,2,10,28.0,212.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.5,10000000,1
518,Luke Shaw,2,10,23.0,2591.0,1.0,4.0,1.4,0.0,0.0,0.0,39.0,37.8,30000000,1
519,Ashley Young,2,10,33.0,2569.0,2.0,2.0,1.9,0.0,0.0,0.0,43.0,38.2,5000000,1
520,Leighton Baines,2,18,33.0,375.0,0.0,0.0,0.1,0.0,0.0,0.0,6.0,6.2,3500000,1
521,Bernard,4,18,25.0,2116.0,1.0,3.0,2.6,0.0,0.0,0.0,0.0,0.0,20000000,1
522,Dominic Calvert-Lewin,4,18,21.0,1784.0,6.0,2.0,5.5,0.0,0.0,0.0,0.0,0.0,20000000,1
523,Seamus Coleman,2,18,29.0,2558.0,2.0,2.0,1.6,0.0,0.0,0.0,30.0,34.4,15000000,1
524,Tom Davies,3,18,20.0,980.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,15000000,1
525,Lucas Digne,2,18,25.0,2965.0,4.0,4.0,1.3,0.0,0.0,0.0,38.0,38.7,30000000,1
526,Andre Gomes,3,18,25.0,1980.0,1.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,28000000,1
527,Mason Holgate,2,18,21.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.4,7000000,1
528,Phil Jagielka,2,18,35.0,331.0,1.0,0.0,0.6,0.0,0.0,0.0,2.0,2.4,1000000,1
529,Michael Keane,2,18,25.0,2969.0,1.0,2.0,2.3,0.0,0.0,0.0,39.0,40.7,30000000,1
530,James Mccarthy,3,18,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000,1
531,Yerry Mina,2,18,23.0,892.0,1.0,0.0,0.3,0.0,0.0,0.0,13.0,15.9,25000000,1
532,Jordan Pickford,1,18,24.0,3420.0,0.0,0.0,0.0,46.0,89.0,14.0,0.0,0.0,40000000,1
533,Richarlison,4,18,21.0,2665.0,13.0,1.0,9.4,0.0,0.0,0.0,0.0,0.0,50000000,1
534,Morgan Schneiderlin,3,18,28.0,834.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,15000000,1
535,Gylfi Sigurdsson,3,18,28.0,3117.0,13.0,6.0,10.7,0.0,0.0,0.0,0.0,0.0,35000000,1
536,Cenk Tosun,4,18,27.0,1059.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,15000000,1
537,Theo Walcott,4,18,29.0,2119.0,5.0,2.0,5.7,0.0,0.0,0.0,0.0,0.0,15000000,1
538,Kurt Zouma,2,18,23.0,2612.0,2.0,2.0,1.7,0.0,0.0,0.0,39.0,33.3,25000000,1
539,Leon Balogun,2,59,30.0,594.0,1.0,0.0,0.1,0.0,0.0,0.0,10.0,8.7,2000000,1
540,Bernardo,2,59,23.0,1752.0,0.0,1.0,0.4,0.0,0.0,0.0,29.0,23.6,9000000,1
541,Yves Bissouma,3,59,21.0,1774.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,15000000,1
542,Gaetan Bong,2,59,30.0,1808.0,0.0,0.0,0.1,0.0,0.0,0.0,34.0,38.2,2000000,1
543,David Button,1,59,29.0,360.0,0.0,0.0,0.0,5.0,13.0,1.0,0.0,0.0,1500000,1
544,Shane Duffy,2,59,26.0,3087.0,5.0,1.0,3.1,0.0,0.0,0.0,54.0,54.1,12000000,1
545,Lewis Dunk,2,59,26.0,3151.0,2.0,1.0,1.8,0.0,0.0,0.0,55.0,55.2,20000000,1
546,Jose Izquierdo,3,59,26.0,795.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,10000000,1
547,Alireza Jahanbakhsh,4,59,24.0,1020.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,12000000,1
548,Solly March,4,59,24.0,2463.0,1.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,8000000,1
549,Martin Montoya,2,59,27.0,2167.0,0.0,1.0,0.2,0.0,0.0,0.0,41.0,37.7,8000000,1
550,Glenn Murray,4,59,34.0,2508.0,13.0,1.0,11.4,0.0,0.0,0.0,0.0,0.0,3000000,1
551,Davy Propper,3,59,26.0,2546.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,15000000,1
552,Mathew Ryan,1,59,26.0,3060.0,0.0,0.0,0.0,55.0,96.0,6.0,0.0,0.0,10000000,1
553,Dale Stephens,3,59,29.0,2485.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,6000000,1
554,Phil Bardsley,2,50,33.0,1670.0,0.0,0.0,0.3,0.0,0.0,0.0,27.0,28.0,1500000,1
555,Ashley Barnes,4,50,28.0,2388.0,12.0,2.0,13.8,0.0,0.0,0.0,0.0,0.0,10000000,1
